NOMBDEP,AREA_KMÂ²,FEC_ACT,FUENTE,REGION,CONFIRMED
AMAZONAS,39355.85,01/01/2018,INEI,1,0
ANCASH,35962.25,01/01/2018,INEI,2,3
APURIMAC,21114.15,01/01/2018,INEI,3,0
AREQUIPA,63255.89,01/01/2018,INEI,4,3
AYACUCHO,43505.51,01/01/2018,INEI,5,0
CAJAMARCA,32966.27,01/01/2018,INEI,6,0
CALLAO,141.47,01/01/2018,INEI,7,5
CUSCO,72074.45,01/01/2018,INEI,8,4
HUANCAVELICA,22065.04,01/01/2018,INEI,9,0
HUANUCO,37365.84,01/01/2018,INEI,10,2
ICA,21080.77,01/01/2018,INEI,11,1
JUNIN,44121.35,01/01/2018,INEI,12,0
LA LIBERTAD,25295.97,01/01/2018,INEI,13,2
LAMBAYEQUE,14342.31,01/01/2018,INEI,14,6
LIMA,34989.93,01/01/2018,INEI,15,194
LORETO,375119.6,01/01/2018,INEI,16,11
MADRE DE DIOS,85045.87,01/01/2018,INEI,17,1
MOQUEGUA,15807.31,01/01/2018,INEI,18,0
PASCO,23872.25,01/01/2018,INEI,19,0
PIURA,36067.94,01/01/2018,INEI,20,2
PUNO,67919.41,01/01/2018,INEI,21,0
SAN MARTIN,50957.65,01/01/2018,INEI,22,0
TACNA,16083.07,01/01/2018,INEI,23,0
TUMBES,4690.26,01/01/2018,INEI,24,0
UCAYALI,105294.09,01/01/2018,INEI,25,0
